동,top_좌표X,top_좌표Y
청담동,127.0507865,37.5254445
한남동,127.0119443,37.5354315
성수동1가,127.0441761,37.544501
삼성동,127.0632026,37.5085295
도곡동,127.0552495,37.4888034
